#HBC,name, Vmag,B-V,U-B,U-V,(U-V)KH,ExcU,vsini,Sp,SpT,EW,EWHaBa  ,ExcEW,ExcExp,type,,,,,,
195,Bretz3,14.22,0.73,-0.5,0.23,1,0.77,nan,K0,50,123,0.77,122.23,119.1,tt,6,8,38.06,18,7,50
203,LkH@274,13.24,1.29,0.64,1.93,2.48,0.55,nan,K4,54,20,1.76,18.24,15.6,tt,6,31,10.12,10,26,4.3
208,KVMon,14.83,1.04,0.61,1.65,1.95,0.3,nan,K3,53,52,1.43,50.57,47.9,tt,6,39,41.46,9,46,19.5
212,LMMon,15.08,0.97,-0.35,0.62,1.8,1.18,nan,K3,53,65,1.43,63.57,60.9,tt,6,40,39.12,9,50,58.5
218,LQMon,16.34,1.05,-0.59,0.46,1.97,1.51,nan,K6,56,20,2.66,17.34,14.1,tt,6,40,43.21,9,47,7.2
221,LTMon,15.49,1.08,-0.15,0.93,2.03,1.1,nan,K1,51,59,0.95,58.05,55.1,tt,6,40,49.89,9,36,49.4
223,V419Mon,14.38,1.02,0.59,1.61,1.91,0.3,30,K3,53,38,1.43,36.57,33.9,tt,6,40,53.62,9,33,24.9
225,LUMon,15.03,1.15,-0.04,1.11,2.2,1.09,25,K3,53,101,1.43,99.57,96.9,tt,6,40,56.79,9,37,48.9
226,IOMon,13.62,1.08,0.8,1.88,2.03,0.15,30,K3,53,7,1.43,5.57,2.9,tt,6,40,58.8,9,30,57.7
227,IPMon,13.19,1.3,0.74,2.04,2.5,0.46,25,K3,53,14,1.43,12.57,9.9,tt,6,41,0.96,9,32,44.6
228,LYMon,15.45,1.01,-0.52,0.49,1.89,1.4,nan,K5,55,108,2.16,105.84,102.9,tt,6,41,4.25,9,24,52
229,LXMon,15.33,1.18,0.34,1.52,2.26,0.74,nan,K7,57,25,3.26,21.74,18.4,tt,6,41,5.76,9,48,17.4
233,V363Mon,15.22,0.97,0.66,1.63,1.8,0.17,nan,K7,57,11,3.26,7.74,4.4,tt,6,41,11.83,9,26,30.9
234,MMMon,14.31,0.93,0.32,1.25,1.65,0.4,nan,K3,53,40,1.43,38.57,35.9,tt,6,41,12.56,9,52,31.2
